,F3 alpha,F3 beta,F4 alpha,F4 beta,C3 alpha,C3 beta,C4 alpha,C4 beta,Fp1 alpha,Fp1 beta,Fp2 alpha,Fp2 beta,O1 gamma,O2 gamma
30,2.261839746115075e-08,-8.319767384013765e-09,6.131771249480054e-08,-1.2548042942481873e-08,-2.2006669543899723e-09,1.4324654502429e-08,-9.596649715636308e-08,-3.525910080259506e-08,-3.77119565874923e-09,-9.669794659566649e-10,1.1115043098295898e-07,3.346749311703416e-09,2.7608077970860117e-09,-1.646875728399511e-08
31,-1.4392778989579582e-08,6.376323116299568e-10,-2.3115822057692244e-09,1.3445742619212566e-08,-8.511103001094928e-09,1.8285808922887465e-08,5.850946658637404e-08,3.5447901879319936e-08,9.41290696469945e-10,3.5625818354613913e-10,-5.372137840555781e-08,1.0067959837763318e-08,-3.5520047525310006e-09,5.757737004442004e-10
32,-1.6367139369519835e-08,-2.46119925065253e-08,-2.638743873376488e-09,-1.882019187087505e-08,3.297549944335881e-08,-2.166216188428703e-08,-5.620930393468968e-08,-2.4061169589860666e-08,2.375758074139533e-09,7.820181762775865e-10,-2.1930110741710853e-08,-3.5083909915230553e-08,-1.3851029125728835e-08,-5.643590597106042e-10
33,2.421706291482815e-08,2.4001484099875206e-08,1.9089661071231337e-08,2.1682901414057744e-08,2.162142054618104e-08,5.659390350433976e-08,2.701822262383088e-08,4.119635482523287e-09,-1.5057592781924293e-09,-2.3751022771119867e-10,7.679428850048623e-08,2.833499765931952e-08,3.644141819148987e-08,-8.34564645551544e-09
34,4.518252459387011e-09,2.6801346563409402e-08,-1.989845026052221e-08,1.0972666329661967e-08,2.6932825898204564e-08,-3.247954905490853e-08,1.8645325949166466e-08,1.2265624875501804e-08,-1.782902164691317e-09,-5.514516634751789e-10,-5.3599257173203575e-08,4.427286841494933e-10,-2.41402951193861e-09,1.3962063561759128e-08
35,2.238308807581302e-08,-2.698167126333746e-08,-2.016545886556012e-08,-1.83352096755826e-08,-4.5177259231407794e-08,-1.3811708220835237e-08,-4.499169258849411e-08,-1.6170572705591222e-08,1.3196064490478234e-09,1.407630632101233e-10,3.045757888353501e-08,-3.4298791336527516e-09,-1.70822240403033e-08,-1.0973090756551601e-08
36,-3.8074509834252816e-08,2.6689342017142277e-08,-8.363058262963293e-09,3.059195062079739e-08,-2.3203004030832023e-08,-2.3264953026100203e-09,-2.4304773211672864e-08,-4.41877221208484e-09,-2.2775252359748812e-09,-1.5840297352947233e-10,-1.0980641093313618e-07,-2.421230880319598e-09,4.233938464738099e-09,2.5931755771387606e-08
37,-7.141259235220926e-08,-6.255996409565603e-08,-3.823134805660872e-08,-5.9203973199857966e-08,3.8200724355018935e-08,-2.6173873150892867e-08,-7.347305405732042e-09,-1.5467609684819184e-08,3.6894029355144605e-09,8.022916194702502e-10,1.9215240735386766e-08,-3.5280888836244614e-08,-6.747270656690093e-09,-3.740421160158791e-09
38,1.1786549799342627e-07,8.153777337036086e-08,1.8187540274721828e-07,1.028787749821066e-07,1.378560306394602e-08,2.8149146849758156e-08,9.067701611529016e-08,4.645507155762731e-08,-3.120386886848332e-09,-1.0411872877911365e-09,1.5217661147874465e-07,8.59083817378234e-08,5.531030283680626e-09,-7.74851249512894e-09
39,5.131106764909659e-08,-1.5057055276590282e-08,-1.3088958815286225e-07,-9.277313406290611e-08,9.633060704004209e-10,1.763710181765201e-08,-3.489737327332719e-08,-4.8219478397352437e-08,1.8885389483620863e-09,7.824070117884093e-10,-5.509903206129518e-08,-5.6437913838504776e-08,-5.715461686694177e-09,-1.0572916590753591e-08
